timestamp,event_type,user,pc,action,id,date,activity,after_hours,filename
2026-01-02 07:08:00,login_logout,NOB0181,PC-3446,Logon,{D0P1-U5IU49QG-5472TMLI},01/02/2026 07:08:00,Logon,FALSE,
2026-01-02 07:40:42,login_logout,NOB0181,PC-4124,Logon,{B6U5-D6EI94XX-1850PJXM},01/02/2026 07:40:42,Logon,FALSE,
2026-01-02 07:58:29,login_logout,IKP0472,PC-4124,Logoff,{Y3O8-G3RQ78NY-4956VLZZ},01/02/2026 07:58:29,Logoff,FALSE,
2026-01-02 09:27:12,file_transfer,MOH0273,PC-6699,file_activity,{O2P6-Q7DF37BD-9172LWUK},01/02/2026 09:27:12,,FALSE,OYAT3WVN.zip
2026-01-02 09:30:09,file_transfer,RRC0553,PC-6672,file_activity,{G2X8-B6BW58GY-3723GGFJ},01/02/2026 09:30:09,,FALSE,OU7QK1UC.doc
2026-01-02 14:15:02,file_transfer,JDC0030,PC-0246,file_activity,{A3Y9-G6EK25UK-9166AYWB},01/02/2026 14:15:02,,FALSE,ITURN56T.pdf
2026-01-02 15:28:01,usb_event,HPH0075,PC-2417,Disconnect,{M5Z9-T1YX70KZ-7630YDXB},01/02/2026 15:28:01,Disconnect,FALSE,
2026-01-02 18:40:00,login_logout,JHP0583,PC-9083,Logoff,{H2K6-I5QI37HF-7165AZXP},01/02/2026 18:40:00,Logoff,TRUE,
2026-01-02 19:05:09,file_transfer,AOK0844,PC-4659,file_activity,{O6Q5-N6FD65OI-9608ZMIC},01/02/2026 19:05:09,,TRUE,LHC33G95.pdf
2026-01-03 01:10:25,file_transfer,BSS0369,PC-8884,file_activity,{B8U5-C0IK82JW-9171XPZU},01/03/2026 01:10:25,,TRUE,1FQT9EIV.exe
2026-01-03 01:12:40,usb_event,BSS0369,PC-8884,Connect,{F9E4-L8HL46XU-6244KFFA},01/03/2026 01:12:40,Connect,TRUE,
2026-01-03 01:20:11,file_transfer,BSS0369,PC-8884,file_activity,{U1P3-W6SX99JV-9568OJWA},01/03/2026 01:20:11,,TRUE,PAYROLL_DB_EXPORT.csv
2026-01-03 01:24:55,file_transfer,BSS0369,PC-8884,file_activity,{M6H3-Z3HP85DF-1931QWXU},01/03/2026 01:24:55,,TRUE,CLIENT_KYC_DUMP.zip
2026-01-03 01:31:02,usb_event,BSS0369,PC-8884,Disconnect,{J2N7-I6ZO90TK-3981ARMT},01/03/2026 01:31:02,Disconnect,TRUE,
2026-01-03 07:44:58,usb_event,LBH0942,PC-3640,Connect,{R8U4-O8JR90VE-2442ZHXK},01/03/2026 07:44:58,Connect,FALSE,
2026-01-03 08:05:00,login_logout,MAD0496,PC-2244,Logon,{I3T3-F6JV86EH-5143JTBL},01/03/2026 08:05:00,Logon,FALSE,
2026-01-03 11:36:55,usb_event,LBH0942,PC-3640,Disconnect,{C7F8-V5AB28AM-7967KHKC},01/03/2026 11:36:55,Disconnect,FALSE,
2026-01-03 12:41:57,file_transfer,DLM0051,PC-0166,file_activity,{G0N2-C6XS58KT-5394VDSQ},01/03/2026 12:41:57,,FALSE,S5X11JA6.txt
2026-01-03 16:55:00,login_logout,BDI0533,PC-5883,Logoff,{Q8V3-E6EG36UR-8740GXVX},01/03/2026 16:55:00,Logoff,FALSE,
2026-01-03 17:35:05,file_transfer,HSB0196,PC-8001,file_activity,{Y4H4-F0YN89UU-4963FSQX},01/03/2026 17:35:05,,FALSE,197RZ75B.pdf
2026-01-04 03:32:40,login_logout,SAK0375,PC-3268,Logoff,{E6C5-E7AP34JC-8642HRIX},01/04/2026 03:32:40,Logoff,TRUE,
2026-01-04 06:11:41,login_logout,AJF0370,PC-7275,Logon,{Q6P9-M0RT53MW-2351LWGC},01/04/2026 06:11:41,Logon,FALSE,
2026-01-04 06:13:28,login_logout,MSO0222,PC-0269,Logon,{K7Q2-N1UV62NX-3462MXHD},01/04/2026 06:13:28,Logon,FALSE,
